request_id,sample_id,condition,repetition,model,backend,task_type,transport,connection_mode,negotiated_http_version,completed,http_status,finish_reason,elapsed_seconds,input_tokens,output_tokens,token_f1,rouge_l,packets_total,bytes_total,packets_client_to_server,bytes_client_to_server,tcp_payload_bytes_client_to_server,packets_server_to_client,bytes_server_to_client,tcp_payload_bytes_server_to_client,tcp_retransmissions,udp_payload_bytes_client_to_server,udp_payload_bytes_server_to_client,quic_packets,tls_records,observed_tls_versions,observed_alpn,observed_tls_handshake_versions,observed_tls_supported_versions,workload,network_condition
conv-26::55::no_compression,conv-26::55,no_compression,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,6.041939,33262,4,0.0,0.25,40,113027,21,108520,107138,19,4507,3245,0,0,0,0,17,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-26::62::longllmlingua_2x,conv-26::62,longllmlingua_2x,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,2.502108,13347,14,0.28571428571428575,0.28571428571428575,54,54750,28,47218,45374,26,7532,5808,0,0,0,0,24,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-26::62::longllmlingua_4x,conv-26::62,longllmlingua_4x,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,1.58212,7779,14,0.28571428571428575,0.28571428571428575,52,35101,27,27637,25859,25,7464,5806,0,0,0,0,23,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-26::62::no_compression,conv-26::62,no_compression,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,6.065925,33262,11,0.0,0.36363636363636365,54,115747,28,108987,107143,26,6760,5036,0,0,0,0,24,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-26::66::longllmlingua_2x,conv-26::66,longllmlingua_2x,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,3.219429,13955,37,0.17647058823529413,0.16666666666666663,100,67004,51,52045,48683,49,14959,11717,0,0,0,0,47,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-26::66::longllmlingua_4x,conv-26::66,longllmlingua_4x,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,2.001414,7378,33,0.2941176470588235,0.2285714285714286,90,42933,46,29325,26293,44,13608,10696,0,0,0,0,42,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-26::66::no_compression,conv-26::66,no_compression,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,6.652248,33265,27,0.16,0.07407407407407408,86,121985,44,110070,107170,42,11915,9135,0,0,0,0,40,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-30::27::longllmlingua_2x,conv-30::27,longllmlingua_2x,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,2.247563,10872,19,0.0,0.36363636363636365,64,47570,33,38463,36289,31,9107,7053,0,0,0,0,29,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-30::27::longllmlingua_4x,conv-30::27,longllmlingua_4x,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,1.427256,5946,19,0.0,0.36363636363636365,62,30379,32,21341,19233,30,9038,7050,0,0,0,0,28,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-30::27::no_compression,conv-30::27,no_compression,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,4.828589,25419,17,0.0,0.4,64,90598,33,82005,79831,31,8593,6539,0,0,0,0,29,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-30::77::longllmlingua_2x,conv-30::77,longllmlingua_2x,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,2.094264,10873,13,0.18181818181818182,0.18181818181818182,52,45348,27,38114,36336,25,7234,5576,0,0,0,0,23,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-30::77::longllmlingua_4x,conv-30::77,longllmlingua_4x,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,1.26281,5814,13,0.18181818181818182,0.18181818181818182,50,28381,26,21215,19503,24,7166,5574,0,0,0,0,22,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-30::77::no_compression,conv-30::77,no_compression,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,4.746789,25419,14,0.0,0.19999999999999998,58,89485,30,81815,79839,28,7670,5814,0,0,0,0,26,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-41::53::longllmlingua_2x,conv-41::53,longllmlingua_2x,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,3.992776,21965,13,0.16666666666666669,0.33333333333333337,56,81224,29,73884,71974,27,7340,5550,0,0,0,0,25,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-41::53::longllmlingua_4x,conv-41::53,longllmlingua_4x,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,2.008276,10538,13,0.16666666666666669,0.33333333333333337,52,44946,27,37737,35959,25,7209,5551,0,0,0,0,23,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-41::53::no_compression,conv-41::53,no_compression,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,9.363839,48788,12,0.16666666666666669,0.16666666666666669,59,166866,31,159711,157669,28,7155,5299,0,0,0,0,27,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-42::67::longllmlingua_2x,conv-42::67,longllmlingua_2x,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,3.787592,21082,12,0.06451612903225805,0.0625,52,62739,27,55777,53999,25,6962,5304,0,0,0,0,23,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-42::67::longllmlingua_4x,conv-42::67,longllmlingua_4x,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,2.438056,11514,12,0.06451612903225805,0.0625,38,42984,19,37882,36628,19,5102,3848,0,0,0,0,18,0x0303,,,,qa,baseline_loopback
conv-42::67::no_compression,conv-42::67,no_compression,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,10.7936,55634,7,0.07407407407407407,0.07142857142857142,49,159356,26,153807,152095,23,5549,4023,0,0,0,0,22,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-44::98::longllmlingua_2x,conv-44::98,longllmlingua_2x,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,4.174006,23111,9,0.6666666666666666,0.8333333333333333,46,64604,24,58606,57026,22,5998,4538,0,0,0,0,20,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-44::98::longllmlingua_4x,conv-44::98,longllmlingua_4x,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,2.250446,10627,20,0.0,0.0,64,43291,33,33862,31688,31,9429,7375,0,0,0,0,29,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-44::98::no_compression,conv-44::98,no_compression,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,12.014795,59428,9,0.6666666666666666,0.8333333333333333,53,177097,28,170900,169056,25,6197,4539,0,0,0,0,24,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-47::150::longllmlingua_2x,conv-47::150,longllmlingua_2x,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,4.173841,21939,17,0.0,0.0,64,80133,33,71504,69330,31,8629,6575,0,0,0,0,29,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-47::150::longllmlingua_4x,conv-47::150,longllmlingua_4x,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,2.001195,10303,12,0.0,0.18181818181818182,50,42853,26,35977,34265,24,6876,5284,0,0,0,0,22,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-47::150::no_compression,conv-47::150,no_compression,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,9.249053,47193,12,0.0,0.18181818181818182,57,156896,30,149823,147847,27,7073,5283,0,0,0,0,26,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-48::175::longllmlingua_2x,conv-48::175,longllmlingua_2x,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,3.226707,16530,21,0.2105263157894737,0.2105263157894737,68,60915,35,51143,48837,33,9772,7586,0,0,0,0,31,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-48::175::longllmlingua_4x,conv-48::175,longllmlingua_4x,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,2.112528,10051,21,0.2105263157894737,0.2105263157894737,65,42153,33,32447,30273,32,9706,7586,0,0,0,0,30,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-48::175::no_compression,conv-48::175,no_compression,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,9.479245,48236,22,0.2,0.2,77,160597,40,150304,147668,37,10293,7843,0,0,0,0,36,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-49::105::longllmlingua_2x,conv-49::105,longllmlingua_2x,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,2.850762,15437,11,0.28571428571428575,0.42857142857142855,50,58741,26,52112,50400,24,6629,5037,0,0,0,0,22,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
conv-49::105::longllmlingua_4x,conv-49::105,longllmlingua_4x,1,Qwen/Qwen3.5-9B,local_vllm,qa,tls13,warm,HTTP/1.1,True,200,stop,1.657665,8407,11,0.28571428571428575,0.42857142857142855,46,36512,24,30019,28439,22,6493,5033,0,0,0,0,20,0x0301;0x0303,http/1.1,0x0303,0x0304,qa,baseline_loopback
