workload,transport,sample_id,condition,elapsed_seconds_ratio,input_tokens_ratio,output_tokens_ratio,packets_total_ratio,bytes_total_ratio,bytes_client_to_server_ratio,bytes_server_to_client_ratio
qa,http3,conv-50::55,longllmlingua_2x,0.4439313206341793,0.4692717894920885,1.0,0.5363128491620112,0.4992085748114912,0.48678591362816237,0.7986545682102628
qa,http3,conv-50::55,longllmlingua_4x,0.22381819916621115,0.2213043098172917,1.0833333333333333,0.35195530726256985,0.2648906337633202,0.24366879113176443,0.7764392991239049
qa,http3,conv-50::85,longllmlingua_2x,0.41416148428694843,0.45039452689558696,1.0,0.525,0.4713205869275233,0.46265262773817745,0.8079453441295547
qa,http3,conv-50::85,longllmlingua_4x,0.19648002471523135,0.2138095342178313,1.0,0.2875,0.24156768087403926,0.2314273055421624,0.6353744939271255
summary,tls13,conv-26::event_summary::Caroline,longllmlingua_2x,0.9542578010573604,0.40066125638713557,1.1963470319634704,1.1878247958426131,0.9702120222399423,0.6565880995549696,1.191965055730888
summary,tls13,conv-26::event_summary::Caroline,longllmlingua_4x,1.066919935821437,0.2357980162308386,1.4292237442922375,1.412769116555308,1.0774219799665745,0.5951277402340531,1.4184361786931328
summary,tls13,conv-26::event_summary::Melanie,longllmlingua_2x,0.9304411869929646,0.38425007514277126,1.210431654676259,1.1980802792321117,0.9445654634791069,0.6179673821635855,1.2052150951699856
summary,tls13,conv-26::event_summary::Melanie,longllmlingua_4x,0.9621184652172474,0.22816351067027352,1.3381294964028776,1.3106457242582896,0.9627907261346045,0.5140893612914789,1.3208878864561557
summary,tls13,conv-30::event_summary::Gina,longllmlingua_2x,1.1237596008345172,0.4058603736479843,1.5819397993311037,1.5443037974683544,1.1104872378190545,0.6665707538745461,1.5614146484040354
summary,tls13,conv-30::event_summary::Gina,longllmlingua_4x,0.6357714745544627,0.23012782694198625,0.9063545150501672,0.9018987341772152,0.6428039299017525,0.3821066417954875,0.9076185004888176
summary,tls13,conv-30::event_summary::Jon,longllmlingua_2x,0.918467161296445,0.40086529006882987,1.077574047954866,1.0724137931034483,0.9313033511716691,0.6704309784862927,1.0757239658250004
summary,tls13,conv-30::event_summary::Jon,longllmlingua_4x,1.1615811354864978,0.2312291052114061,1.4442877291960508,1.430344827586207,1.1699847458525172,0.6879455935638876,1.4368447047813806
summary,tls13,conv-42::event_summary::Nate,longllmlingua_2x,0.8610293767032771,0.4056827576291291,1.1623155505107832,1.1559020044543429,0.9033760654537556,0.5585027901257921,1.1585918962995108
summary,tls13,conv-42::event_summary::Nate,longllmlingua_4x,0.3159622866091143,0.21534092951367673,0.40749148694665155,0.4153674832962138,0.34165718032364856,0.24346921403575145,0.4143190105898245
summary,tls13,conv-43::event_summary::John,longllmlingua_2x,0.7731905003442905,0.4624205826235764,0.9521484375,0.9515122419587134,0.8170667083957195,0.6218924045962242,0.9524932604406693
summary,tls13,conv-43::event_summary::John,longllmlingua_4x,0.7310633798345822,0.20736049096166329,1.0,0.9966394623139703,0.7807819929653352,0.4650920503726727,0.9998313227608849
summary,tls13,conv-44::event_summary::Audrey,longllmlingua_2x,0.9668058047905127,0.3639728770211835,1.490538573508006,1.4748048261178142,1.0457846966780928,0.5907215252084087,1.4851794979697637
